target_name_ullyses,target_name_hlsp,target_name_simbad,target_name_ullyses_apt,alias0,alias1,alias2,alias3,alias4,alias5,alias6,alias7,alias8,alias9,alias10,alias12,alias13,alias14,alias15,alias16,alias17,alias18,alias19,alias20
SK -66 18,SK-66D18,SK -66 18,SK-66D18,SK -66 18,SK-66D18,SK-66 18|SK_-6618,SK-66.18,SK-66 18,SK_-6618,SK-66.18,SK-66 18,SK_-6618,SK-66-18,,,,,,,,,,
BI 13,BI-13,BI 13,BI13,BI 13,BI13,BI 13|[M2002]_15830,BI 13,[M2002]_15830,BI 13,[M2002]_15830,,,,,,,,,,,,,
PGMW 3070,PGMW-3070,PGMW 3070,PGMW-3070,PGMW 3070,PGMW-3070,[PGMW]-3070|[PGMW]_3070,[PGMW]_3090,[PGMW]_3058,[PGMW]_3073,[PGMW]-3070,[PGMW]_3070,[PGMW]-3070,[PGMW]_3070,,,,,,,,,,
VFTS 406,VFTS-406,VFTS 406,VFTS-406,VFTS 406,VFTS-406,P93-0370|VFTS_406,P93-0370,VFTS_406,P93-0370,VFTS_406,,,,,,,,,,,,,
BI 272,BI-272,BI 272,BI272,BI 272,BI272,BI272|BI_272,BI272,BI_272,BI272,BI_272,,,,,,,,,,,,,
SK -68 16,SK-68D16,SK -68 16,SK-68D16,SK -68 16,SK-68D16,SK -68 16|[M2002]_34847,SK -68 16,[M2002]_34847,SK -68 16,[M2002]_34847,,,,,,,,,,,,,
SK -67 118,SK-67D118,SK -67 118,SK-67D118,SK -67 118,SK-67D118,SK -67 118|[M2002]_138717,SK -67 118,[M2002]_138717,SK -67 118,[M2002]_138717,,,,,,,,,,,,,
VFTS 190,VFTS-190,VFTS 190,VFTS-190,VFTS 190,VFTS-190,VFTS-190|VFTS_190,VFTS-190,VFTS_190,VFTS-190,VFTS_190,,,,,,,,,,,,,
SK -66 152,SK-66D152,SK -66 152,SK-66D152,SK -66 152,SK-66D152,SK -66 152|SK_-66152,SK -66 152,SK_-66152,SK -66 152,SK_-66152,,,,,,,,,,,,,
SK -69 83,SK-69D83,SK -69 83,SK-69D83,SK -69 83,SK-69D83,SK -69 83|SK_-6983,SK -69 83,SK_-6983,SK -69 83,SK_-6983,,,,,,,,,,,,,
SK -67 261,SK-67D261,SK -67 261,SK-67D261,SK -67 261,SK-67D261,SK -67 261|SK_-67261,SK -67 261,SK_-67261,SK -67 261,SK_-67261,SK-67-261,,,,,,,,,,,,
BI 189,BI-189,BI 189,BI189,BI 189,BI189,BI 189|BI_189,BI 189,BI_189,BI 189,BI_189,,,,,,,,,,,,,
